Codigo Barra,Fabricante,,,Precio Sugerido Mercado
70074117195,ABBOTT NUTRICION,ABBNU,A1677,1905.96
22548024317,FRAG (DIFFUPAR),FRDIF,A1155,17930
22548024324,FRAG (DIFFUPAR),FRDIF,A1155,47610
22548055373,FRAG (DIFFUPAR),FRDIF,A1155,25530
310119303290,BAUSCH & LOMB AR,BA&LA,A0898,1945
310119303306,BAUSCH & LOMB AR,BA&LA,A0898,3115
310119303313,BAUSCH & LOMB AR,BA&LA,A0898,3745
310119303320,BAUSCH & LOMB AR,BA&LA,A0898,1635
310119303337,BAUSCH & LOMB AR,BA&LA,A0898,2625
47144060477,BAUSCH & LOMB AR,BA&LA,A0898,3010
614143473463,PHARMA ALIOTH,ALIOT,A1995,2723.84
762860013469,SILVESTRIN FABRIS,SILVE,A0405,11120
762860013476,SILVESTRIN FABRIS,SILVE,A0405,11120
762860013483,SILVESTRIN FABRIS,SILVE,A0405,12030
762860013490,SILVESTRIN FABRIS,SILVE,A0405,6230
762860850897,SILVESTRIN FABRIS,SILVE,A0405,12030
763511009817,FRAG (DIFFUPAR),FRDIF,A1155,42700
30089372,LA ROCHE-POSAY (LOREAL),POSSA,A0564,4015
30102422,LA ROCHE-POSAY (LOREAL),POSSA,A0564,17410
30106659,LA ROCHE-POSAY (LOREAL),POSSA,A0564,6920
310119033227,BAUSCH & LOMB AR,BA&LA,A0898,1945
310119033289,BAUSCH & LOMB AR,BA&LA,A0898,3745
310119033340,BAUSCH & LOMB AR,BA&LA,A0898,3115
310119034347,BAUSCH & LOMB AR,BA&LA,A0898,1215
310119037799,BAUSCH & LOMB AR,BA&LA,A0898,1375
310119037805,BAUSCH & LOMB AR,BA&LA,A0898,2125
310119037812,BAUSCH & LOMB AR,BA&LA,A0898,3185
310119052136,BAUSCH & LOMB AR,BA&LA,A0898,1855
310119056738,BAUSCH & LOMB AR,BA&LA,A0898,3415
3274872389960,FRAG (LMVH),LMVH,A1249,50500
3274872400726,FRAG (LMVH),LMVH,A1249,51400
3331436404023,FRAG (DIFFUPAR),FRDIF,A1155,15220
3331438000032,FRAG (DIFFUPAR),FRDIF,A1155,23830
3337872410147,LA ROCHE-POSAY (LOREAL),POSSA,A0564,13460
3337872410338,LA ROCHE-POSAY (LOREAL),POSSA,A0564,9550
3337872410949,LA ROCHE-POSAY (LOREAL),POSSA,A0564,21925
3337872410956,LA ROCHE-POSAY (LOREAL),POSSA,A0564,21925
3337872410963,LA ROCHE-POSAY (LOREAL),POSSA,A0564,21925
3337872410970,LA ROCHE-POSAY (LOREAL),POSSA,A0564,21925
3337872411083,LA ROCHE-POSAY (LOREAL),POSSA,A0564,9860
3337872411595,LA ROCHE-POSAY (LOREAL),POSSA,A0564,13845
3337872411991,LA ROCHE-POSAY (LOREAL),POSSA,A0564,14470
3337872412042,LA ROCHE-POSAY (LOREAL),POSSA,A0564,19300
3337872412059,LA ROCHE-POSAY (LOREAL),POSSA,A0564,19300
3337872412516,LA ROCHE-POSAY (LOREAL),POSSA,A0564,12105
3337872412646,LA ROCHE-POSAY (LOREAL),POSSA,A0564,16215
3337872412752,LA ROCHE-POSAY (LOREAL),POSSA,A0564,7735
3337872412998,LA ROCHE-POSAY (LOREAL),POSSA,A0564,4035
3337872413018,LA ROCHE-POSAY (LOREAL),POSSA,A0564,7460
3337872413025,LA ROCHE-POSAY (LOREAL),POSSA,A0564,11870
3337872413711,LA ROCHE-POSAY (LOREAL),POSSA,A0564,22490
3337872413728,LA ROCHE-POSAY (LOREAL),POSSA,A0564,23730
3337872413735,LA ROCHE-POSAY (LOREAL),POSSA,A0564,21085
3337872414039,LA ROCHE-POSAY (LOREAL),POSSA,A0564,22490
3337872414145,LA ROCHE-POSAY (LOREAL),POSSA,A0564,9010
3337872414152,LA ROCHE-POSAY (LOREAL),POSSA,A0564,23220
3337872414381,LA ROCHE-POSAY (LOREAL),POSSA,A0564,10490
3337872418778,LA ROCHE-POSAY (LOREAL),POSSA,A0564,5925
3337872418785,LA ROCHE-POSAY (LOREAL),POSSA,A0564,8845
3337872420153,LA ROCHE-POSAY (LOREAL),POSSA,A0564,10525
3337872420207,LA ROCHE-POSAY (LOREAL),POSSA,A0564,16100
3337875517300,LA ROCHE-POSAY (LOREAL),POSSA,A0564,6440
3337875518451,LA ROCHE-POSAY (LOREAL),POSSA,A0564,12675
3337875518598,LA ROCHE-POSAY (LOREAL),POSSA,A0564,12675
3337875518628,LA ROCHE-POSAY (LOREAL),POSSA,A0564,3535
3337875528092,LA ROCHE-POSAY (LOREAL),POSSA,A0564,9330
3337875528108,LA ROCHE-POSAY (LOREAL),POSSA,A0564,13845
3337875537308,LA ROCHE-POSAY (LOREAL),POSSA,A0564,7100
3337875543248,VICHY (LOREAL),VICHY,A0968,13750
3337875545891,LA ROCHE-POSAY (LOREAL),POSSA,A0564,8390
3337875546430,LA ROCHE-POSAY (LOREAL),POSSA,A0564,8390
3337875550611,LA ROCHE-POSAY (LOREAL),POSSA,A0564,8930
3337875550628,LA ROCHE-POSAY (LOREAL),POSSA,A0564,11070
3337875552097,LA ROCHE-POSAY (LOREAL),POSSA,A0564,10215
3337875552127,LA ROCHE-POSAY (LOREAL),POSSA,A0564,15060
3337875578486,LA ROCHE-POSAY (LOREAL),POSSA,A0564,8795
3337875583589,LA ROCHE-POSAY (LOREAL),POSSA,A0564,17575
3337875583626,LA ROCHE-POSAY (LOREAL),POSSA,A0564,19800
3337875586269,LA ROCHE-POSAY (LOREAL),POSSA,A0564,11665
3337875598071,LA ROCHE-POSAY (LOREAL),POSSA,A0564,12675
3337875613668,LA ROCHE-POSAY (LOREAL),POSSA,A0564,15535
3337875632652,LA ROCHE-POSAY (LOREAL),POSSA,A0564,22070
3337875632676,LA ROCHE-POSAY (LOREAL),POSSA,A0564,22070
3337875632690,LA ROCHE-POSAY (LOREAL),POSSA,A0564,22070
3337875660549,LA ROCHE-POSAY (LOREAL),POSSA,A0564,22970
3337875660570,LA ROCHE-POSAY (LOREAL),POSSA,A0564,24210
3337875678636,LA ROCHE-POSAY (LOREAL),POSSA,A0564,9205
3337875678667,LA ROCHE-POSAY (LOREAL),POSSA,A0564,9205
3337875685818,LA ROCHE-POSAY (LOREAL),POSSA,A0564,19660
3337875685832,LA ROCHE-POSAY (LOREAL),POSSA,A0564,14800
3337875694469,LA ROCHE-POSAY (LOREAL),POSSA,A0564,24210
3337875696548,LA ROCHE-POSAY (LOREAL),POSSA,A0564,17635
3337875696579,LA ROCHE-POSAY (LOREAL),POSSA,A0564,11740
3337875696838,LA ROCHE-POSAY (LOREAL),POSSA,A0564,11860
3337875698696,LA ROCHE-POSAY (LOREAL),POSSA,A0564,12260
3337875706667,LA ROCHE-POSAY (LOREAL),POSSA,A0564,7105
3337875706681,LA ROCHE-POSAY (LOREAL),POSSA,A0564,7105
